,tweets
88,"['Ben86669885', 'in', datetime.datetime(2019, 11, 11, 0, 9, 14), 0, '@woroayuningtyas @mrtjakarta Nihh jg ..selama perjalanan saya dari bund Hi sampe blokM gada petugas yg jln mondarmandir untuk memperhatikan penumpang yg makan/minum dalam kereta https://t.co/WWvyNdsuvI', '']"
89,"['andriestnt', 'in', datetime.datetime(2019, 11, 10, 17, 18, 54), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Indonesia']"
90,"['Luluilma33', 'in', datetime.datetime(2019, 11, 10, 13, 20, 19), 3932, 'RT @anindyakana: Buat warga Jabodetabek yg suka janjian di mal naik mobil/taksi, yuk kurangi emisi karbon (+budget parkir) dgn naik transpo…', '']"
91,"['hedithp', 'in', datetime.datetime(2019, 11, 10, 13, 2, 41), 0, '@mrtjakarta Wow oke. Di singapur jauh lebih manusiawi ya daripada di sini', '']"
92,"['nikokristianto', 'in', datetime.datetime(2019, 11, 10, 12, 20, 40), 0, '@PT_TransJakarta Sudah 6 bulan lebih loh Pak @aniesbaswedan sejak @mrtjakarta diresmikan tapi stasiun ASEAN masih belum terintegrasi dengan halte CSW. Masih harus nunggu berapa lama lagi?', 'between heaven and earth']"
93,"['YuliAnggraeny03', 'in', datetime.datetime(2019, 11, 10, 12, 6, 32), 0, '@mrtjakarta hallo selamat malam,mohon infonya untuk besok pagi kereta mrt sudirman-lebak bulus paling pagi jam berapa???', '']"
94,"['Yanua02', 'in', datetime.datetime(2019, 11, 10, 12, 5, 55), 0, '@mrtjakarta perlu dilengkapi lagi nih keterangan setiap pintu exit itu menuju ke arah mana. Akan menolong pendatang yg baru pertama kali. https://t.co/1zhIPm9w9B', '']"
95,"['Dewataradhika', 'in', datetime.datetime(2019, 11, 10, 12, 0, 17), 0, '@anindyakana @PT_TransJakarta @CommuterLine @mrtjakarta jaktim ama bekasi', '']"
96,"['PradytaAnanda', 'in', datetime.datetime(2019, 11, 10, 11, 59, 33), 0, '@hedithp @woroayuningtyas @mrtjakarta Pokoknya setelah tap-in kartu gak boleh makan-minum. It means ya di peron ya di kereta. That’s why area jajanan semua di sebelum gate tap. *bantu jawab', 'INA']"
97,"['hedithp', 'in', datetime.datetime(2019, 11, 10, 11, 33, 58), 0, '@mrtjakarta larangan makan di MRT itu jadinya di dalam kereta saja atau di peron juga ya? Karena kalau di peron saya tidak pernah lihat tanda larangannya', '']"
98,"['hedithp', 'in', datetime.datetime(2019, 11, 10, 11, 31, 23), 0, '@woroayuningtyas @mrtjakarta Oh maaf ya mbak accountnya masih termention. Saya maksudnya nanya ke @mrtjakarta aja biar jawabannya resmi', '']"
99,"['woroayuningtyas', 'in', datetime.datetime(2019, 11, 10, 11, 26, 31), 0, '@hedithp @mrtjakarta Dua-duanya mba\nDi area dalam stasiun mrt dan di dalam rangkaian kereta', 'اَللّهُ']"
100,"['hedithp', 'in', datetime.datetime(2019, 11, 10, 11, 24, 24), 0, '@mrtjakarta @woroayuningtyas Maaf, jadi larangan makannya di dalam kereta aja atau di peron juga ya?', '']"
101,"['woroayuningtyas', 'in', datetime.datetime(2019, 11, 10, 11, 3, 42), 0, 'Coba tolong min @mrtjakarta pkd di stasiun BNH tolong diperketat lagi, karena daritadi saya liatin anak ini asik makan di peron\nTerima kasih https://t.co/WRk5BfKoAS', 'اَللّهُ']"
102,"['yperdana', 'in', datetime.datetime(2019, 11, 10, 10, 28, 36), 0, '@sekarungberas @mrtjakarta Tapi paling ngga lebih dr satu. Jangan satu amat', 'Jakarta, Indonesia']"
103,"['sekarungberas', 'in', datetime.datetime(2019, 11, 10, 10, 9, 45), 0, '@yperdana @mrtjakarta kayanya ngga perlu deh kak, soalnya kalo weekdays gak serame ini sih. dan bisa pake emoney juga kan😉', 'Ardmore']"
104,"['ErlanPrimansyah', 'in', datetime.datetime(2019, 11, 10, 8, 13, 10), 0, 'Beginilah kalo papa dan anak perempuannya, sedang gak ada kerjaan di @mrtjakarta, bepoto2an.\n\n#AyukErin #ep https://t.co/U7FN124W7M', 'INDONESIA!']"
